,0,1,2
1782,33,7515,2358.433
1784,33,7521,1337.3032
1786,33,7537,2044.5112
1788,33,7554,458.3706
1790,33,7574,1711.9691
1792,33,7579,2558.197
1794,33,7586,2875.3586
1796,33,7604,435.66415
1798,34,265,119.999756
1800,34,459,869.6819
1802,34,748,183.41364
1804,34,851,1105.1489
1806,34,917,394.1128
1808,34,1146,807.5045
1810,34,1221,257.35736
1812,34,1868,187.22272
1814,34,2304,336.85712
1816,34,2592,317.2493
1818,34,3319,9.031097
1820,34,3910,305.22058
1822,34,4279,140.87054
1824,34,7467,1140.7075
1826,34,7485,2442.9468
1828,34,7507,2182.416
1830,34,7537,2105.1304
1832,34,7540,0.13375449
1834,34,7554,2745.7202
1836,34,7562,1481.5005
1838,34,7602,3301.06
1840,34,7618,2067.5132
1842,34,7634,418.1725
1844,35,99,672.59766
1846,35,513,768.8242
1848,35,535,236.88037
1850,35,777,148.16559
1852,35,942,575.8812
1854,35,1010,207.68689
1856,35,1213,798.14294
1858,35,1287,402.86084
1860,35,1729,165.94177
1862,35,2507,871.41785
1864,35,3001,138.63837
1866,35,3212,216.14001
1868,35,3866,0.17578125
1870,35,4267,219.64203
1872,35,4311,254.38782
1874,35,4904,295.43207
1876,35,7715,730.6118
1878,35,7720,1244.9707
1880,35,7769,3217.973
1882,35,7779,1516.4673
1884,35,7783,3325.1523
1886,35,7800,2614.0483
1888,35,7831,1443.0471
1890,35,7844,3356.918
1892,35,7846,3073.2483
1894,35,7862,1853.615
1896,35,7868,1942.6664
1898,36,20,1810.5488
1900,36,527,980.63086
1902,36,826,1550.4448
1904,36,884,15.264648
1906,36,1499,318.93506
1908,36,2238,147.22437
1910,36,3764,117.912674
1912,36,4149,158.14197
1914,36,7655,1826.9373
1916,36,7658,1625.8862
1918,36,7681,2296.652
1920,36,7703,876.3922
1922,36,7740,2475.8257
1924,36,7744,4197.062
1926,36,7760,625.6846
1928,36,7839,1840.6685
1930,37,527,135.3761
1932,37,1002,917.7036
1934,37,1016,174.70227
1936,37,1163,171.50592
1938,37,1733,178.01947
1940,37,1834,150.96667
1942,37,1938,3.7521362
1944,37,2229,721.5044
1946,37,2238,561.62476
1948,37,2319,914.73706
1950,37,3320,189.73792
1952,37,4098,175.35864
1954,37,4856,117.72133
1956,37,7624,2001.8274
1958,37,7631,1872.8739
1960,37,7652,2039.6265
1962,37,7678,1214.4606
1964,37,7695,1903.6083
1966,37,7703,2435.962
1968,37,7712,2101.1733
1970,37,7736,2350.5488
1972,37,7771,1477.5986
1974,37,7773,288.63184
1976,38,102,950.94666
1978,38,559,1503.3611
1980,38,725,3.7245827
1982,38,1551,337.95618
1984,38,1894,4.522888
1986,38,1972,344.1527
1988,38,1979,219.70776
1990,38,2267,406.5641
1992,38,3162,396.75616
1994,38,3292,141.66519
1996,38,3649,295.09302
1998,38,5798,1633.2844
2000,38,5807,1709.075
2002,38,5812,1318.157
2004,38,5874,1858.6929
2006,38,5882,1537.2062
2008,38,5895,1537.2682
2010,38,5896,1613.3514
2012,38,5933,1425.5447
2014,39,12,1866.427
2016,39,1029,157.56848
2018,39,1048,133.64178
2020,39,1086,112.892334
2022,39,1098,169.67303
2024,39,1149,338.1692
2026,39,1153,344.0252
2028,39,1571,150.51038
2030,39,2305,924.47095
2032,39,2726,205.61487
2034,39,4092,146.92676
2036,39,4517,251.08069
2038,39,4884,119.00879
2040,39,5284,1264.7524
2042,39,5325,1990.4967
2044,39,5334,515.9619
2046,39,5335,2284.5151
2048,39,5347,1663.8755
2050,39,5361,2807.8037
2052,39,5390,1044.1016
2054,39,5396,3498.0034
2056,39,5408,1088.3267
2058,39,5410,2044.8096
2060,39,5440,1952.1101
2062,40,89,2207.2153
2064,40,104,131.65344
2066,40,257,161.7539
2068,40,900,1387.9626
2070,40,1017,126.58722
2072,40,1204,143.14941
2074,40,1417,152.99097
